player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,latitude,longitude,general_position
198350,/player/198350/daniel-bentley/230002,23.0,2.0,2022-09-26,D. Bentley,Daniel Bentley,GK,73,75,2600000.0,22000.0,28,1993-07-13,188,72,1919.0,Bristol City,14.0,Championship,2.0,GK,1.0,,2019-06-28,2023.0,14,England,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,5100000.0,,"GK Long Throw, Cautious With Crosses",,,,,,,18,11,11,43,13,17,12,12,26,30,48,43,51,72,41,52,75,31,67,13,24,22,12,50,22,55.0,30,11,13,77,66,69,72,73,46.0,30+2,30+2,30+2,31,32,32,32,31,34+2,34+2,34+2,32+2,33+2,33+2,33+2,32+2,30+2,32+2,32+2,32+2,30+2,29+2,30+2,30+2,30+2,29+2,72+2,51.509865,-0.118092,GK
202408,https://sofifa.com/player/202408/aden-flint/180002,18.0,2.0,2017-09-18,A. Flint,Aden Flint,CB,73,74,3800000.0,40000.0,27,1989-07-11,197,83,1919.0,Bristol City,14.0,Championship,2.0,RCB,4.0,,2013-06-11,2020.0,14,England,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,7500000.0,"#Aerial Threat, #Strength","Injury Free, Power Header",49.0,43.0,40.0,40.0,73.0,81.0,18,47,80,52,19,31,24,25,52,55,47,51,31,65,27,60,61,67,89,26,81,70,32,42,38,59.0,70,74,74,13,10,8,10,11,,52+1,52+1,52+1,42,46,46,46,42,45+1,45+1,45+1,44+1,51+1,51+1,51+1,44+1,57+1,65+1,65+1,65+1,57+1,61+1,72+1,72+1,72+1,61+1,17+1,51.509865,-0.118092,DEF
189403,https://sofifa.com/player/189403/nathan-baker/190002,19.0,2.0,2018-08-21,N. Baker,Nathan Baker,CB,72,74,3000000.0,30000.0,27,1991-04-23,189,82,1919.0,Bristol City,14.0,Championship,2.0,LCB,6.0,,2017-07-28,2021.0,14,England,,,,Left,2,2,1,Low/High,Normal (185+),Yes,6000000.0,,"Injury Prone, Dives Into Tackles (AI)",53.0,34.0,42.0,38.0,71.0,78.0,44,30,74,54,30,26,41,20,40,48,51,54,46,72,48,59,74,64,83,19,84,70,23,27,35,53.0,70,71,74,11,6,14,9,11,,47+1,47+1,47+1,40,41,41,41,40,40+1,40+1,40+1,43+1,46+1,46+1,46+1,43+1,60+1,62+1,62+1,62+1,60+1,63+1,71+1,71+1,71+1,63+1,16+1,51.509865,-0.118092,DEF
201122,/player/201122/tomas-kalas/230002,23.0,2.0,2022-09-26,T. Kalas,Tomáš Kalas,CB,72,73,2200000.0,23000.0,29,1993-05-15,184,86,1919.0,Bristol City,14.0,Championship,2.0,SUB,22.0,,2019-07-01,2023.0,12,Czech Republic,1330.0,SUB,20.0,Right,3,2,1,Medium/High,Normal (170-185),No,4300000.0,,"Long Throw-in, Dives Into Tackles (AI)",71.0,47.0,56.0,64.0,71.0,76.0,54,38,74,66,24,61,29,31,60,64,70,71,67,70,67,66,84,74,79,54,70,72,46,48,53,70.0,70,71,72,8,8,9,7,7,,59+2,59+2,59+2,59,58,58,58,59,59+2,59+2,59+2,60+2,61+2,61+2,61+2,60+2,68+2,68+2,68+2,68+2,68+2,69+2,72+1,72+1,72+1,69+2,14+2,49.817492,15.472962,DEF
230936,https://sofifa.com/player/230936/adam-nagy/200002,20.0,2.0,2019-09-19,Á. Nagy,Ádám Nagy,CDM,75,80,8000000.0,31000.0,24,1995-06-17,178,70,1919.0,Bristol City,14.0,Championship,2.0,LDM,4.0,,2019-08-08,2022.0,23,Hungary,1886.0,LDM,8.0,Right,5,3,1,Medium/High,Lean (170-185),No,15800000.0,,"Solid Player, Playmaker (AI)",70.0,54.0,76.0,80.0,72.0,61.0,72,48,54,80,68,80,74,62,78,80,71,69,79,73,79,58,53,76,52,58,65,75,64,77,58,76.0,75,73,67,10,7,6,10,14,,64+2,64+2,64+2,72,70,70,70,72,74+2,74+2,74+2,74+2,75+2,75+2,75+2,74+2,74+2,74+2,74+2,74+2,74+2,73+2,68+2,68+2,68+2,73+2,17+2,47.162494,19.503304,MID
196916,https://sofifa.com/player/196916/marlon-pack/190002,19.0,2.0,2018-08-21,M. Pack,Marlon Pack,"CM, CDM",72,73,3500000.0,30000.0,27,1991-03-25,188,74,1919.0,Bristol City,14.0,Championship,2.0,LCM,21.0,,2013-08-02,2021.0,14,England,,,,Right,3,3,1,High/High,Normal (185+),No,6900000.0,,"Power Free-Kick, Long Passer (AI), Long Shot Taker (AI)",55.0,60.0,72.0,67.0,67.0,78.0,68,52,69,75,54,66,60,68,74,71,51,59,64,68,59,73,70,85,77,66,72,70,58,71,64,73.0,65,66,63,10,8,11,15,9,,64+1,64+1,64+1,64,65,65,65,64,67+1,67+1,67+1,67+1,71+1,71+1,71+1,67+1,69+1,71+1,71+1,71+1,69+1,68+1,69+1,69+1,69+1,68+1,17+1,51.509865,-0.118092,MID
220659,https://sofifa.com/player/220659/josh-brownhill/200002,20.0,2.0,2019-09-19,J. Brownhill,Josh Brownhill,"CM, CDM",72,79,4300000.0,26000.0,23,1995-12-19,178,69,1919.0,Bristol City,14.0,Championship,2.0,RDM,8.0,,2016-07-01,2021.0,14,England,,,,Right,3,3,1,High/Medium,Normal (170-185),No,9000000.0,,"Power Free-Kick, Long Shot Taker (AI)",72.0,66.0,68.0,70.0,66.0,75.0,65,62,65,69,50,69,63,70,69,71,70,73,70,71,71,78,78,89,69,73,70,67,70,69,40,69.0,63,69,61,8,11,12,7,9,,69+2,69+2,69+2,69,70,70,70,69,69+2,69+2,69+2,70+2,71+2,71+2,71+2,70+2,70+2,69+2,69+2,69+2,70+2,69+2,67+2,67+2,67+2,69+2,16+2,51.509865,-0.118092,MID
172904,https://sofifa.com/player/172904/lee-tomlin/170002,17.0,2.0,2016-09-20,L. Tomlin,Lee Tomlin,"CAM, LM",72,72,2200000.0,30000.0,27,1989-01-12,180,74,1919.0,Bristol City,14.0,Championship,2.0,CAM,10.0,,2016-07-05,2019.0,14,England,,,,Right,3,3,1,High/Medium,Stocky (170-185),Yes,,,"Flair, Long Shot Taker (AI)",75.0,71.0,67.0,72.0,37.0,74.0,56,72,53,70,57,73,60,70,64,70,75,75,75,60,70,76,59,67,78,69,75,46,69,74,71,62.0,29,36,33,9,12,13,12,11,,69+1,69+1,69+1,70,70,70,70,70,71+1,71+1,71+1,69+1,66+1,66+1,66+1,69+1,55+1,56+1,56+1,56+1,55+1,53+1,50+1,50+1,50+1,53+1,16+1,51.509865,-0.118092,MID
194017,/player/194017/andreas-weimann/230002,23.0,2.0,2022-09-26,A. Weimann,Andreas Weimann,"ST, CAM, CM",73,73,3000000.0,30000.0,30,1991-08-05,178,76,1919.0,Bristol City,14.0,Championship,2.0,CAM,14.0,,2018-07-03,2024.0,4,Austria,1322.0,SUB,10.0,Right,3,3,1,High/High,Normal (170-185),Yes,5700000.0,#Engine,Speed Dribbler (AI),82.0,72.0,65.0,71.0,45.0,72.0,63,74,69,67,69,71,68,64,55,71,83,81,77,73,68,74,60,87,65,68,74,52,76,70,67,65.0,40,41,34,11,9,16,12,6,,73,73,73,72,73,73,73,72,71+2,71+2,71+2,72+1,67+2,67+2,67+2,72+1,62+2,59+2,59+2,59+2,62+2,59+2,55+2,55+2,55+2,59+2,17+2,47.516231,14.550072,FWD
223283,https://sofifa.com/player/223283/famara-diedhiou/180002,18.0,2.0,2017-09-18,F. Diédhiou,Famara Diédhiou,ST,73,77,5500000.0,40000.0,24,1992-12-15,189,80,1919.0,Bristol City,14.0,Championship,2.0,RS,9.0,,2017-06-28,2021.0,136,Senegal,,,,Right,2,2,1,High/Low,Normal (185+),No,10900000.0,,,59.0,72.0,44.0,65.0,26.0,71.0,33,77,81,53,63,65,53,33,35,68,55,63,60,62,58,75,62,58,88,58,49,19,80,48,75,56.0,18,22,16,7,10,15,11,12,,72+1,72+1,72+1,62,66,66,66,62,61+1,61+1,61+1,59+1,53+1,53+1,53+1,59+1,41+1,41+1,41+1,41+1,41+1,40+1,42+1,42+1,42+1,40+1,16+1,0.0,0.0,FWD
223283,https://sofifa.com/player/223283/famara-diedhiou/190002,19.0,2.0,2018-08-21,F. Diédhiou,Famara Diédhiou,ST,72,76,4100000.0,30000.0,25,1992-12-15,189,80,1919.0,Bristol City,14.0,Championship,2.0,LS,9.0,,2017-06-28,2021.0,136,Senegal,,,,Right,2,3,1,High/Medium,Normal (185+),No,8000000.0,,,59.0,72.0,46.0,65.0,31.0,72.0,33,76,79,57,63,65,53,33,35,68,53,63,60,63,58,75,60,55,87,60,60,22,79,50,75,59.0,35,22,16,7,10,15,11,12,,71+1,71+1,71+1,62,66,66,66,62,62+1,62+1,62+1,59+1,54+1,54+1,54+1,59+1,43+1,44+1,44+1,44+1,43+1,41+1,46+1,46+1,46+1,41+1,16+1,0.0,0.0,FWD
